训练轮次,平均奖励,电压越限次数,PSH约束违反,可再生能源消纳率,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
115,0.1958,115,0,100.0,2,20,74,,0.104,0.896,0.9414,1.0,1.407189,-0.006614,2.921313,
116,0.3415,0,0,100.0,0,20,76,,0.069,0.931,0.9514,1.0,2.097477,0.029164,4.23103,
117,0.2305,0,0,98.7,0,18,78,,0.069,0.931,0.9592,1.0202,0.713034,0.022097,1.477436,
118,0.1915,73,0,100.0,1,25,70,,0.07,0.93,0.9417,1.0,0.559368,-0.010161,1.234514,
119,0.1287,106,0,100.0,0,25,71,,0.071,0.929,0.9416,1.0,0.150871,0.011652,0.375372,
120,0.2695,21,0,100.0,0,26,70,,0.071,0.929,0.9481,1.0,2.808948,-0.022387,5.76014,0.3094
121,0.1562,66,0,100.0,0,28,68,,0.071,0.929,0.9411,1.0,0.220536,-0.013736,0.566846,
122,0.1388,132,0,100.0,1,39,56,,0.1,0.9,0.9387,1.0,0.551245,-0.014673,1.230734,
123,0.3144,0,0,96.6,0,53,43,,0.102,0.898,0.9576,1.0156,5.718298,0.01267,11.51002,
124,0.2792,0,0,100.0,1,48,47,,0.102,0.898,0.9548,1.0,0.720164,0.012205,1.514709,
125,0.3154,0,0,97.4,0,38,58,,0.101,0.899,0.9591,1.019,1.747345,-0.002951,3.598701,
126,0.108,97,0,100.0,0,21,75,,0.101,0.899,0.9391,1.0,1.117266,-0.020905,2.374252,
127,0.2152,0,0,100.0,0,29,67,,0.101,0.899,0.9547,1.0,0.480595,-0.002276,1.064052,
128,0.2012,159,0,100.0,0,39,57,,0.101,0.899,0.9364,1.0,0.72542,-0.013779,1.577085,
129,0.1855,0,0,100.0,2,42,52,,0.1,0.9,0.951,1.0,2.790012,-0.016793,5.712611,
130,0.1793,162,0,100.0,2,45,49,,0.096,0.904,0.9375,1.0,0.840955,0.014974,1.750758,0.2873
131,0.1454,72,0,100.0,0,44,52,,0.099,0.901,0.9407,1.0,0.306767,-0.017361,0.746755,
132,0.2752,138,0,100.0,1,37,58,,0.102,0.898,0.9384,1.0,0.912747,-0.013492,1.950695,
133,0.167,0,0,100.0,0,25,71,,0.103,0.897,0.9511,1.0,0.429463,1.1e-05,0.956282,
